,Full Name,Born,Age,Batting Style,Bowling Style,id,Playing Role,Fielding Position,Died,Also Known As,Education,Other,Nicknames,Height
0,Edward Ferdinando Sutton Tylecote,"June 23, 1849, Marston Moretaine, Bedfordshire",,Right hand Bat,,21639,,Wicketkeeper,"March 15, 1938, New Hunstanton, Norfolk, (aged 88y 265d)",,Clifton College; Oxford University,,,
0,Edward Ernest Hemmings,"February 20, 1949, Leamington Spa, Warwickshire",74y 228d,Right hand Bat,Right arm Offbreak,14152,Allrounder,,,,"Campion School, Leamington Spa",,,5ft 10in
0,Adam Lyth,"September 25, 1987, Whitby, Yorkshire",36y 11d,Left hand Bat,Right arm Offbreak,251721,Batter,,,,Caedmon School; Whitby Community College,,Peanut,5ft 9in
0,George Henry Dockrell,"July 22, 1992, Dublin",31y 76d,Right hand Bat,Slow Left arm Orthodox,348034,Allrounder,,,,,,,
0,Amad Butt,"May 10, 1995, Sialkot, Punjab",28y 149d,Right hand Bat,Right arm Fast,717373,Bowling Allrounder,,,,,,,
0,Gerald Arthur Smithson,"November 01, 1926, Spofforth, Yorkshire",,Left hand Bat,Right arm Medium,20221,,,"September 06, 1970, Abingdon, Berkshire, (aged 43y 309d)",,,,,
0,Bandaru Satyanarayana Murty Ayyappa,"October 27, 1992, Eastgodavari, Andhra Pradesh",30y 344d,Right hand Bat,Right arm Medium,588144,Bowler,,,,,,,
0,Aman Hakim Khan,"November 23, 1996",26y 317d,Right hand Bat,Right arm Medium,1254269,Allrounder,,,,,,,
0,Abhinav Manohar,"September 16, 1994, Bangalore, Karnataka",29y 20d,Right hand Bat,Legbreak Googly,778963,Batting Allrounder,,,,,,,
0,Abhimanyu Randhirsingh Lamba,"October 31, 1995, Hanumangarh, Rajasthan",27y 340d,Right hand Bat,Right arm Medium,642533,Bowler,,,,,,,
0,Angeline Mare,"September 11, 2000",23y 25d,Right hand Bat,Right arm Medium fast,1213640,,,,,,,,
0,Amar Sharma,"October 12, 1978",44y 359d,Right hand Bat,Right arm Offbreak,1233042,,,,,,,,
0,Adam Marc Bacher,"October 29, 1973, Johannesburg, Transvaal",49y 342d,Right hand Bat,Right arm Medium,44024,Opening Batter,,,,,,,
0,Ayaan Khan,"August 30, 1992, Bhopal, Madhya Pradesh",31y 37d,Left hand Bat,Slow Left arm Orthodox,956319,Allrounder,,,,,,,
0,Arnoldus Mauritius Blignaut,"August 01, 1978, Salisbury (now Harare)",45y 66d,Left hand Bat,Right arm Medium fast,55259,Allrounder,,,,,,,
0,Athol Matthew Burchell Rowan,"February 07, 1921, Kensington, Johannesburg, Transvaal",,Right hand Bat,Right arm Offbreak,47003,,,"February 22, 1998, Hermanus, Western Cape, (aged 77y 15d)",,,,,
0,Adam McAuley,"February 05, 1996",27y 243d,Right hand Bat,,469114,Batter,,,,,,,
0,Anthony McGrath,"October 06, 1975, Bradford, Yorkshire",48y ,Right hand Bat,Right arm Medium,16975,Allrounder,,,,Yorkshire Martyrs Collegiate School,,Gripper,6ft 2in
0,Ashley Matthew de Silva,"December 03, 1963, Colombo",59y 307d,Right hand Bat,,48450,,Wicketkeeper,,,,,,
0,Ameer Hamza,"September 22, 1995, Lahore, Punjab",28y 14d,Right hand Bat,,712261,,Wicketkeeper,,,,,,
0,Alan Melville,"May 19, 1910, Carnarvon, Cape Province",,Right hand Bat,,46221,,,"April 18, 1983, Sabie, Transvaal, (aged 72y 334d)",,,,,
0,Berkeley Bertram McGarrell Gaskin,"March 21, 1908, Georgetown, Demerara, British Guiana",,Right hand Bat,Right arm Medium,51878,,,"May 02, 1979, Georgetown, Demerara, Guyana, (aged 71y 42d)",,,,,
0,Anderson Montgomery Everton Roberts,"January 29, 1951, Urlings Village, Antigua",72y 250d,Right hand Bat,Right arm Fast,52817,Bowler,,,Sir Andy Roberts,,,,
0,Ashmini Munisar,"December 07, 2003, Guyana",19y 303d,Right hand Bat,Right arm Offbreak,1352168,Allrounder,,,,,,,
0,Asitha Madusanka Fernando,"July 31, 1997, Katuneriya",26y 67d,Right hand Bat,Right arm Medium fast,786925,Bowler,,,,"St. Sebastian's College, Katuneriya",,,
0,Bernadine Bezuidenhout,"September 14, 1993, Kimberly",30y 22d,Right hand Bat,,499247,Top order Batter,Wicketkeeper,,,,,,
0,Asanka Manjula Guruge,"February 14, 1981, Ambalangoda",42y 234d,Right hand Bat,Left arm Fast medium,49013,Bowler,,,,,,,
0,Aaron Mark Hardie,"January 07, 1999, Bournemouth, Dorset",24y 272d,Right hand Bat,Right arm Medium fast,1124283,Allrounder,,,,,,,
0,Aminul Islam Biplob,"November 06, 1999, Shariatpur",23y 334d,Right hand Bat,Legbreak Googly,926597,Allrounder,,,,,,Biplob,
0,Syed Amir Ali,"November 24, 1978, Karachi, Sind",44y 316d,Right hand Bat,Right arm Offbreak,387046,Batter,,,,,,,
0,Anil Teja Nidamanuru,"August 22, 1994, Vijayawada, Andhra Pradesh",29y 45d,Right hand Bat,Right arm Offbreak,1129328,Allrounder,,,,,,,
0,Amir Hamza Hotak,"August 15, 1991, Afghanistan",32y 52d,Right hand Bat,Slow Left arm Orthodox,402245,Bowling Allrounder,,,Hamza Hotak,,,,
0,Amir Hayat,"August 28, 1982, Lahore, Pakistan",41y 39d,Right hand Bat,Right arm Medium,1126253,Bowler,,,,,,,
0,Amit Mishra,"November 24, 1982, Delhi",40y 316d,Right hand Bat,Legbreak,31107,Bowler,,,,,,,
0,Arthur Mitchell,"September 13, 1902, Baildon Green, Yorkshire",,Right hand Bat,,17045,,,"December 25, 1976, Bradford, Yorkshire, (aged 74y 103d)",,,,Ticker,
0,Andrew Mark Jefferson Hilditch,"May 20, 1956, North Adelaide, South Australia",67y 139d,Right hand Bat,Right arm Medium,5656,Opening Batter,,,,,Selector,,
0,Amjad Ali,"September 25, 1979, Lahore, Punjab",44y 11d,Left hand Bat,Legbreak,39745,Batter,Wicketkeeper,,Amjad Ali Chaudhry,,,,
0,Amjad Javed,"July 05, 1980, Dubai",43y 93d,Right hand Bat,Right arm Medium,25613,Allrounder,,,,,,,
0,Anthony Sanawar,,,,,449509,,,,,,Umpire,,
0,Ashish Madhu Joshi,"February 15, 1985, Dehradun",38y 233d,Right hand Bat,,1206245,,Wicketkeeper,,,,,,
0,Arron Mark Lilley,"April 01, 1991, Tameside, Lancashire",32y 188d,Right hand Bat,Right arm Offbreak,520551,Batting Allrounder,,,,Mossley Hollins High School,,,
0,Alfred Renfrew Richards,"December 14, 1867, Grahamstown, Cape Colony",,Right hand Bat,,46980,,Wicketkeeper,"January 09, 1904, Salisbury (now Harare), Rhodesia, (aged 36y 26d)",,,,,
0,Ammar Mahmood,"April 04, 1979, Faisalabad, Punjab",,Right hand Bat,Right arm Offbreak,39191,,,"October 29, 2021 (aged 42y 208d)",,,,,
0,Andre McIntosh McCarthy,"June 08, 1987, Kingston, Jamaica",36y 120d,Right hand Bat,Right arm Offbreak,230556,Middle order Batter,,,,,,,
0,Audley Montague Miller,"October 19, 1869, Brentry, Westbury-on-Trym, Gloucestershire",,Right hand Bat,Right arm Medium fast,17022,,,"June 26, 1959, Clifton, Bristol, (aged 89y 250d)",death registered as Audley Montagu Miller,,Umpire,,
0,Alexander McKenzie Moir,"July 17, 1919, Dunedin, Otago",,Right hand Bat,Legbreak Googly,37724,,,"June 17, 2000, Dunedin, Otago, (aged 80y 336d)",,,,,
0,Anthony Michael Muller,"May 18, 1962, Port Elizabeth, Cape Province",61y 141d,,,336236,,,,,,Umpire,,
0,Abhishek Mohan Nayar,"October 08, 1983, Secunderabad, Hyderabad",39y 363d,Left hand Bat,Right arm Medium,32091,Allrounder,,,,,,,
0,Andrew Richard Whittall,"March 28, 1973, Umtali (now Mutare), Manicaland",50y 192d,Right hand Bat,Right arm Offbreak,55846,Bowler,,,Structure,,,,
0,Anisa Mohammed,"September 07, 1988, Trinidad",35y 29d,Right hand Bat,Right arm Offbreak,55187,Bowler,,,,,,,
0,Brendan Doggett,"May 03, 1994, Rockhampton, Queensland",29y 156d,Right hand Bat,Right arm Fast medium,931603,Bowler,,,,,,,
0,Hiyarage Ishani Hansima Karunaratne,"October 04, 1993, Nivitigala",30y 2d,Right hand Bat,Right arm Medium,631722,Batter,,,,"Sumana Balika Vidyalaya, Ratnapura",,,
0,Amos Rai,"March 23, 1985, Gangtok, Sikkim",38y 197d,Right hand Bat,Legbreak Googly,1159802,Bowler,,,,,,,
0,Hayley Kristen Matthews,"March 19, 1998",25y 201d,Right hand Bat,Right arm Offbreak,474308,Opening Batter,,,,,,,
0,Ajit Manohar Pai,"April 28, 1945, Bombay (now Mumbai), Maharashtra",78y 161d,Left hand Bat,Right arm Fast medium,32149,,,,,,,,
0,Herbert Leslie Jackson,"April 05, 1921, Whitwell, Derbyshire",,Right hand Bat,Right arm Fast,15464,,,"April 25, 2007, Chesterfield, (aged 86y 20d)",,,,,
0,Anna Michelle Peterson,"September 12, 1990, Auckland",33y 24d,Right hand Bat,Right arm Offbreak,329003,Top order Batter,,,,,,,
0,Aaron Mpho Phangiso,"January 21, 1984, Garankuwa",39y 258d,Right hand Bat,Slow Left arm Orthodox,46942,Bowler,,,,,,,
0,Ajinkya Madhukar Rahane,"June 06, 1988, Ashwi-KD, Maharashtra",35y 122d,Right hand Bat,Right arm Medium,277916,Top order Batter,,,,,,,
0,Bodiyabaduge Oshada Piyumal Fernando,"April 15, 1992, Colombo",31y 174d,Right hand Bat,Legbreak,366725,Top order Batter,,,,"St. Sebastian College, Moratuwa",,,5ft 11in
0,Adam Matthew Rossington,"May 05, 1993, Edgware, Middlesex",30y 154d,Right hand Bat,,457280,Wicketkeeper Batter,Wicketkeeper,,,,,,
0,Andrew Michael Smith,"October 01, 1967, Dewsbury, Yorkshire",56y 5d,Right hand Bat,Left arm Fast medium,20224,,,,,,Referee,,
0,Abhinav Mukund,"January 06, 1990, Madras (now Chennai), Tamil Nadu",33y 273d,Left hand Bat,Legbreak Googly,302582,Top order Batter,,,,,,,
0,Harry Houston Alexander,"June 09, 1905, Ascot Vale, Victoria",,Right hand Bat,Right arm Fast,3945,,,"April 15, 1993, East Melbourne, Victoria, (aged 87y 310d)",Bull,,,,
0,Charles Albert George Russell,"October 07, 1887, Leyton, Essex",,Right hand Bat,,19497,,,"March 23, 1961, Whipps Cross, Leytonstone, Essex, (aged 73y 167d)",,,Coach,,
0,Hendrik Human Dippenaar,"June 14, 1977, Kimberley, Cape Province",46y 114d,Right hand Bat,Right arm Offbreak,44708,Opening Batter,,,,,,,
0,Andrea-Mae Zepeda,"October 24, 1995",27y 347d,Right hand Bat,Right arm Medium,1196284,,,,,,,,
0,Chemeka Abraham,"June 06, 1990, Soufriere",33y 122d,Right hand Bat,Right arm Fast medium,530135,,,,,,,,
0,Charles Alfred Absolom,"June 07, 1846, Blackheath, Kent",,Right hand Bat,Right arm Medium,8483,,,"July 30, 1889, Port of Spain, Trinidad, (aged 43y 53d)",,,,,
0,Anam Amin,"August 11, 1992",31y 56d,Left hand Bat,Slow Left arm Orthodox,725879,Bowler,,,,,,,
0,Alviro Nathan Petersen,"November 25, 1980, Port Elizabeth, Cape Province",42y 315d,Right hand Bat,Right arm Offbreak,46934,Batter,,,,,,,
0,Mohammad Anamul Haque Bijoy,"December 16, 1992, Kushtia, Khulna",30y 294d,Right hand Bat,,380354,Wicketkeeper Batter,Wicketkeeper,,,,,,
0,Brian William Luckhurst,"February 05, 1939, Sittingbourne, Kent",,Right hand Bat,Slow Left arm Orthodox,16370,,,"March 01, 2005, Kent, (aged 66y 24d)",,,,,
0,Herbert Ironmonger,"April 07, 1882, Pine Mountain, Queensland",,Left hand Bat,Slow Left arm Orthodox,5977,,,"May 31, 1971, St Kilda, Melbourne, Victoria, (aged 89y 54d)",Dainty,,,,
0,Anand Rajan,"April 17, 1987, Nagpur, Maharashtra",36y 172d,Right hand Bat,Right arm Medium,26797,Bowler,,,Annu,,,,
0,Chittaboina Hitesh Yadav,"September 06, 1999, Hyderabad",24y 30d,Left hand Bat,Slow Left arm Orthodox,1246436,,,,,,,,
0,Hamish John Hamilton Marshall,"February 15, 1979, Warkworth, Auckland",44y 233d,Right hand Bat,Right arm Medium,37696,Batter,,,,,,,
0,Akshay Narender Chauhan,"August 17, 1990, Chattri, Himachal Pradesh",33y 50d,Right hand Bat,Right arm Medium,537122,,,,,,,,
0,Henry Rupert James Charlwood,"December 19, 1846, Horsham, Sussex",,Right hand Bat,,10713,,,"June 06, 1888, Scarborough, Yorkshire, (aged 41y 170d)",,,,,
0,Alan Norman Connolly,"June 29, 1939, Skipton, Victoria",84y 99d,Right hand Bat,Right arm Fast medium,4613,Bowler,,,,,,,
0,Alastair Nathan Cook,"December 25, 1984, Gloucester",38y 285d,Left hand Bat,Right arm Slow,11728,Opening Batter,,,Sir Alastair Cook,Bedford School,,"Cooky, Chef",6ft 2in
0,Ainsley Ndlovu,"January 26, 1996, Bulawayo, Matabeleland",27y 253d,Right hand Bat,Slow Left arm Orthodox,596456,Bowler,,,,DHS,,,
0,Bryan Herbert Valentine,"January 17, 1908, Blackheath, Kent",,Right hand Bat,Right arm Medium,22173,,,"February 02, 1983, Otford, Kent, (aged 75y 16d)",,Repton School,,,
0,Andrew Vanlalhruaia,"January 13, 1987",36y 266d,Right hand Bat,Right arm Medium,1170236,,,,,,,,
0,Ashish Nehra,"April 29, 1979, Delhi",44y 160d,Right hand Bat,Left arm Medium fast,31820,Bowler,,,,,,,
0,Andre Nel,"July 15, 1977, Germiston, Transvaal",46y 83d,Right hand Bat,Right arm Fast medium,46569,Bowler,,,,,Coach,,
0,Arindam Nanigopal Ghosh,"October 19, 1986, Barasat, Kolkatta",36y 352d,Right hand Bat,Right arm Medium,220435,Batter,,,,,,,
0,Albert Neilson Hornby,"February 10, 1847, Brook House, Blackburn, Lancashire",,Right hand Bat,,14267,,,"December 17, 1925, Nantwich, Cheshire, (aged 78y 310d)",The Boss,,,,
0,Aniket Arpon Parikh,"July 07, 1997, Gujarat, India",26y 91d,Right hand Bat,Right arm Offbreak,959765,,,,,,,,
0,Harold Thomas William Hardinge,"February 25, 1886, Greenwich, London",,Right hand Bat,Slow Left arm Orthodox,14038,,,"May 08, 1965, Tenison Road, Cambridge, (aged 79y 72d)",,,Coach,,
0,Anil Subba,"September 05, 1989, Bermiok, Sikkim",34y 31d,Right hand Bat,Right arm Medium,1205292,,,,,,,,
0,Aniruddha Ashok Joshi,"November 07, 1987, Bangalore, Karnataka",35y 333d,Right hand Bat,Right arm Offbreak,420644,Middle order Batter,,,,,,,
0,Harmanjot Singh,"January 06, 1994",29y 273d,Right hand Bat,Right arm Medium,469130,,,,Rohit Singh,,,,
0,Brayden Jake Stepien,"July 27, 1997, Bendigo, Victoria",26y 71d,Left hand Bat,Right arm Medium,1213959,Wicketkeeper Batter,,,,,,,
0,Heidi Sandiford,"December 22, 1990",32y 288d,Right hand Bat,,474217,,Wicketkeeper,,,,,,
0,Benjamin James Sealey,"August 12, 1899, St Joseph, Trinidad",,Right hand Bat,Right arm Medium,52926,,,"September 12, 1963, Port of Spain, Trinidad, (aged 64y 31d)",,,,,
0,Arlene Nora Kelly,"January 08, 1994, Auckland",29y 271d,Right hand Bat,Right arm Medium,592593,Allrounder,,,,,,,
0,Ankit Chaudhary,"December 21, 1996, Ghaziabad , Uttar Pradesh",26y 289d,Right hand Bat,Slow Left arm Orthodox,1175461,,,,,,,,
0,Hemant Shamsunder Kanitkar,"December 08, 1942, Amravati, Maharashtra",,Right hand Bat,,30019,,Wicketkeeper,"June 09, 2015, Pune, (aged 72y 183d)",,,,,
0,Ankit Kapil Kaushik,"September 05, 1991, Chandigarh",32y 31d,Right hand Bat,Legbreak Googly,604532,,,,,,,,
0,Edward Paynter,"November 05, 1901, Oswaldtwistle, Lancashire",,Left hand Bat,Right arm Medium,18475,,,"February 05, 1979, Keighley, Yorkshire, (aged 77y 92d)",,,,,
0,Evelyn Rockley Wilson,"March 25, 1879, Bolsterstone, Yorkshire",,Right hand Bat,Right arm Slow,22471,,,"July 21, 1957, Winchester, Hampshire, (aged 78y 118d)",,,Coach,,
0,Edward Simon Hunter Giddins,"July 20, 1971, Eastbourne, Sussex",52y 78d,Right hand Bat,Right arm Fast medium,13362,Bowler,,,,Eastbourne College,,Geezer,6ft 4in
0,Ankit Manori,"December 17, 2000, Dehradun Uttarakhand",22y 293d,Right hand Bat,Right arm Medium,1216039,,,,,,,,
0,Eric Stefan Szwarczynski,"February 13, 1983, Vanderbijlpark, South Africa",40y 235d,Right hand Bat,Right arm Medium,214696,Batter,,,,,,,
0,Ankit Nagendra Sharma,"April 20, 1991, Gwalior, Madhya Pradesh",32y 169d,Left hand Bat,Slow Left arm Orthodox,422992,Bowler,,,,,,,
0,Esmond Seymour Maurice Kentish,"November 21, 1916, Cornwall Mountain, Westmoreland, Jamaica",,Right hand Bat,Right arm Fast medium,52288,,,"June 10, 2011, Jamaica, (aged 94y 201d)",,,,,
0,Ankit Soni,"August 02, 1993",30y 65d,Right hand Bat,Legbreak,1083128,Allrounder,,,,,,,
0,Antonio Nigel Mayers,"October 23, 1979, Horse Hill, St Joseph, Barbados",43y 348d,Right hand Bat,Right arm Medium,52450,Allrounder,,,,,,,
0,Ernest Raymond Herbert Toshack,"December 08, 1914, Cobar, New South Wales",,Right hand Bat,Left arm Medium,7960,,,"May 11, 2003, Bobbin Head, Sydney, New South Wales, (aged 88y 154d)","The Black Prince, Johnson",,,,
0,Anmol Malhotra,"November 29, 1995, Patiala, Punjab",27y 311d,Right hand Bat,Right arm Offbreak,851259,,Wicketkeeper,,,,,,
0,Anmolpreet Singh,"March 28, 1998, Patiala, Punjab",25y 192d,Right hand Bat,Right arm Offbreak,851261,Batter,,,,,,,
0,Felix Auguiste,"September 10, 1982, Roseau, Dominica",41y 26d,,,656361,,,,,,Umpire,,
0,Anrich Arno Nortje,"November 16, 1993",29y 324d,Right hand Bat,Right arm Fast,481979,Bowler,,,,,,,
0,Edward Thornhill Beckett Simpson,"March 05, 1867, Crofton, Wakefield, Yorkshire",,Right hand Bat,,20776,,,"March 20, 1944, Walton, Wakefield, Yorkshire, (aged 77y 15d)",,,,,
0,Ellawalakankanamge Asoka Ranjit de Silva,"March 28, 1956, Kalutara",67y 192d,Left hand Bat,Legbreak Googly,48456,Bowler,,,,,Umpire,,
0,Ansh Tandon,"November 08, 2001, New Delhi, India",21y 332d,Left hand Bat,Legbreak,1058990,Batter,,,,,,,
0,David Robert Shepherd,"December 27, 1940, Bideford, Devon",,Right hand Bat,Right arm Medium,20157,,,"October 27, 2009 (aged 68y 304d)",,"Barnstaple Grammar School; St Luke's College, Exeter",Umpire,Shep,5ft 10in
0,Anshuman Rath,"November 05, 1997, Hong Kong",25y 335d,Left hand Bat,Slow Left arm Orthodox,452472,Wicketkeeper Batter,,,,,,,
0,Denis St Eval Atkinson,"August 09, 1926, Rockley, Christ Church, Barbados",,Right hand Bat,"Right arm Medium, Right arm Offbreak",51134,,,"November 09, 2001, Barbados, (aged 75y 92d)",,,,,
0,Anuj Kailash Dal,"July 08, 1996, Newcastle-under-Lyme, Staffordshire",27y 90d,Right hand Bat,Right arm Medium,644045,Batting Allrounder,,,,Durban High School; Nottingham High School,,,
0,Anuj Nagmani Raj,"November 01, 2000, Gopalganj, Bhiar",22y 339d,Right hand Bat,Left arm Medium fast,1246472,,,,,,,,
0,Sampathwaduge Anuk Nimantha Jude Fernando,"August 01, 1995, Colombo",28y 66d,Left hand Bat,Left arm Medium fast,568257,Allrounder,,,,"St.Sebastian’s College, Moratuwa",,,5ft 9in
0,Darren Scott Lehmann,"February 05, 1970, Gawler, South Australia",53y 243d,Left hand Bat,Slow Left arm Orthodox,6285,Top order Batter,,,,,Coach,Boof,1.76 m
0,David Stuart Sheppard,"March 06, 1929, Reigate, Surrey",,Right hand Bat,Slow Left arm Orthodox,20159,,,"March 05, 2005, England, (aged 75y 364d)",The Right Reverend Lord David Sheppard,,,,
0,Mohammad Anwar Hossain,"December 31, 1981, Munshiganj",41y 279d,Right hand Bat,Right arm Fast medium,56235,Bowler,,,,,,Monir,
0,Arthur Owen Jones,"August 16, 1872, Shelton, Nottinghamshire",,Right hand Bat,Legbreak,15534,,,"December 21, 1914, Lanark House, Dunstable, Bedfordshire, (aged 42y 127d)",,,,,
0,Ashok Omprakash Malhotra,"January 26, 1957, Amritsar, Punjab",66y 253d,Right hand Bat,Right arm Medium,30912,Middle order Batter,,,,,,,
0,Dilip Narayan Sardesai,"August 08, 1940, Margao, Goa",,Right hand Bat,Right arm Bowler,33850,Top order Batter,,"July 02, 2007, Mumbai, (aged 66y 328d)",,,,,
0,Alan Owen Morgan,"April 14, 1994, Swansea",29y 175d,Right hand Bat,Slow Left arm Orthodox,573904,Batting Allrounder,,,,,,,
0,Duanne Olivier,"May 09, 1992, Groblersdal",31y 150d,Right hand Bat,Right arm Fast medium,486679,Bowler,,,,,,,
0,Annie V O'Neil,"February 18, 1999",24y 230d,Right hand Bat,Legbreak,1173523,Middle order Batter,,,,,,,
0,Donald Vincent Brennan,"February 10, 1920, Eccleshill, Yorkshire",,Right hand Bat,,9210,,Wicketkeeper,"January 09, 1985, Ilkley, Yorkshire, (aged 64y 334d)",,,,,
0,Dominic Peter Sibley,"September 05, 1995, Epsom, Surrey",28y 31d,Right hand Bat,Legbreak,519082,Opening Batter,,,,,,,
0,David Valentine Lawrence,"January 28, 1964, Gloucester",59y 251d,Right hand Bat,Right arm Fast,16219,,,,birth registered as Dave Valentine Lawrence,,,,
0,Alfred Phillip Binns,"July 24, 1929, Kingston, Jamaica",,Right hand Bat,,51223,,Wicketkeeper,"December 29, 2017, Weston, Florida, (aged 88y 158d)",,,,,
0,Everton de Courcy Weekes,"February 26, 1925, Pickwick Gap, Westbury, St Michael, Barbados",,Right hand Bat,Legbreak,53241,,,"July 01, 2020, Barbados, (aged 95y 126d)",Sir Everton Weekes,,"Referee, Coach",,
0,Anton Paul Devcich,"September 28, 1985, Hamilton, Waikato",38y 8d,Left hand Bat,Slow Left arm Orthodox,36948,Opening Batter,,,,,,,
0,Alan Philip Eric Knott,"April 09, 1946, Belvedere, Kent",77y 180d,Right hand Bat,Right arm Offbreak,15917,Wicketkeeper Batter,Wicketkeeper,,,"Northumberland Heath Secondary Modern School, Kent",,"Knotty, Flea",5ft 8in
0,Ernest Harvey Bromley,"September 02, 1912, Fremantle, Western Australia",,Left hand Bat,Slow Left arm Orthodox,4210,,,"February 01, 1967, Clayton, Melbourne, Victoria, (aged 54y 152d)",,,,Slogger,
0,Arthur Percy Frank Chapman,"September 03, 1900, The Mount, Reading, Berkshire",,Left hand Bat,,10705,,,"September 16, 1961, Alton, Hampshire, (aged 61y 13d)",,Uppingham; Cambridge University,,,
0,Evertorn Hugh Mattis,"April 11, 1957, Kingston, Jamaica",66y 178d,Right hand Bat,Right arm Offbreak,52427,,,,,,,,
0,Alfred Percy Freeman,"May 17, 1888, Ladywell, Lewisham, London",,Right hand Bat,Legbreak Googly,12918,,,"January 28, 1965, Bearsted, Kent, (aged 76y 256d)",,,,,5ft 2in
0,Ewen John Chatfield,"July 03, 1950, Dannevirke, Manawatu",73y 95d,Right hand Bat,Right arm Medium fast,36603,Bowler,,,,,,,
0,Edward James Gregory,"May 29, 1839, Waverley, Sydney, New South Wales",,Right hand Bat,,5433,,,"April 22, 1899, Randwick, Sydney, New South Wales, (aged 59y 328d)",,,,,
0,Anderson Phillip,"August 22, 1996",27y 45d,Right hand Bat,Right arm Fast medium,914467,Bowler,,,,,,,
0,Alan Paul Igglesden,"October 08, 1964, Farnborough, Kent",,Right hand Bat,Right arm Fast medium,15380,,,"November 01, 2021 (aged 57y 24d)",,,,,
0,Adrian Paul Kuiper,"August 24, 1959, Johannesburg, Transvaal",64y 43d,Right hand Bat,"Right arm Medium, Right arm Offbreak",45840,,,,,,,,
0,Alfred Perry Lucas,"February 20, 1857, Westminster, London",,Right hand Bat,Right arm Slow,16364,,,"October 12, 1923, Great Waltham, Essex, (aged 66y 234d)",,Uppingham; Cambridge University,,,
0,Ebadot Hossain Chowdhury,"January 07, 1994, Moulvi Bazar, Sylhet",29y 272d,Right hand Bat,Right arm Fast medium,932355,Bowler,,,,,,,
0,Douglas Vivian Parson Wright,"August 21, 1914, Sidcup, Kent",,Right hand Bat,"Right arm Medium, Legbreak Googly",22536,,,"November 13, 1998, Canterbury, Kent, (aged 84y 84d)",,,Coach,,
0,Alfred Percy Marr,"March 28, 1862, Pyrmont, Sydney, New South Wales",,Right hand Bat,Right arm Medium,6492,,,"March 15, 1940, Arncliffe, New South Wales, (aged 77y 353d)",,,,,
0,Damien William Fleming,"April 24, 1970, Bentley, Perth, Western Australia",53y 165d,Right hand Bat,Right arm Fast medium,5239,Bowler,,,,,Coach,,
0,David Williams,"November 04, 1963, Penal, Trinidad",59y 336d,Right hand Bat,Legbreak,53230,Wicketkeeper Batter,Wicketkeeper,,,,Coach,,
0,Adarsh Pratyush Kumar Yadav,"July 01, 1995, Rae Bareli, Baroda",28y 97d,Right hand Bat,Right arm Medium,1083144,,,,,,,,
0,Alexandra Elizabeth Price,"November 05, 1995",27y 335d,Right hand Bat,Right arm Medium,381309,Bowler,,,,,,,
0,Edgar Arthur McDonald,"January 06, 1891, Launceston, Tasmania",,Right hand Bat,Right arm Fast,6555,,,"July 22, 1937, Blackrod, Bolton, Lancashire, (aged 46y 197d)",,,,,
0,Edward Albert Nicholls,"December 10, 1947, Mahaica, East Coast, Demerara, British Guiana",75y 300d,Right hand Bat,Right arm Offbreak,52633,,,,,,Umpire,,
0,Arjun Pawan Sharma,"May 21, 1996, Jalandhar",27y 138d,Left hand Bat,Slow Left arm Orthodox,731473,,,,,,,,
0,Andrew Paul Sheahan,"September 30, 1946, Werribee, Victoria",77y 6d,Right hand Bat,,7597,Opening Batter,,,,,,,
0,Aditya Prakash Tare,"November 07, 1987, Bombay (now Mumbai), Maharashtra",35y 333d,Right hand Bat,,333904,Wicketkeeper,Wicketkeeper,,,,,,
0,Heather Graham,"October 05, 1996",27y 1d,Right hand Bat,Right arm Medium fast,546629,Allrounder,,,,,,,
0,Akaze Patricia Thompson,"October 21, 1992",30y 350d,Right hand Bat,Right arm Medium,530210,,,,,,,,
0,George Nathaniel Francis,"December 11, 1897, Trents, St James, Barbados",,Right hand Bat,Right arm Fast,51794,,,"January 12, 1942, Black Rock, St Michael, Barbados, (aged 44y 32d)",birth registered as John Nathaniel Francis,,,,
0,Alan Peter Wells,"October 02, 1961, Newhaven, Sussex",62y 4d,Right hand Bat,Right arm Medium,22361,Middle order Batter,,,,,,,
0,Akash Yadav,"December 31, 1993, New Delhi",29y 279d,Left hand Bat,,1083938,,Wicketkeeper,,,,,,
0,Aqib Ilyas Sulehri,"September 05, 1992, Sialkot",31y 31d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",940593,Top order Batter,,,,,,,
0,Arabind Ajaya Singh,"December 05, 1990, Bolangir, Orissa,",32y 305d,Right hand Bat,Right arm Medium,604581,,,,,,,,
0,Andre Ryan Adams,"July 17, 1975, Auckland",48y 81d,Right hand Bat,Right arm Fast medium,36192,Allrounder,,,,"West Lake Boys, Auckland",,Dre,5ft 11in
0,Graham Neil Edwards,"May 27, 1955, Nelson, Nelson",,Right hand Bat,,36952,,Wicketkeeper,"April 06, 2020 (aged 64y 315d)",,,,,
0,Arafat Sunny,"September 29, 1986",37y 7d,Left hand Bat,Slow Left arm Orthodox,56268,Bowler,,,,,,,
0,Graham Robert Cowdrey,"June 27, 1964, Farnborough, Kent",,Right hand Bat,Right arm Medium,10844,,,"November 11, 2020 (aged 56y 137d)",,"Tonbridge School, Durham University",,Van,5ft 10in
